identifier,description_en
documentDigital,"digital representation of a primarily textual item (can contain illustrations also)"
imageDigital,"representation of a primarily textual item (can contain illustrations also) on paper, photograhic material, or other media"
documentHardcopy,"likeness of natural or man-made features, objects, and activities acquired through the sensing of visual or any other segment of the electromagnetic spectrum by sensors, such as thermal infrared, and high resolution radar and stored in digital format"
imageHardcopy,"likeness of natural or man-made features, objects, and activities acquired through the sensing of visual or any other segment of the electromagnetic spectrum by sensors, such as thermal infrared, and high resolution radar and reproduced on paper, photographic material, or other media for use directly by the human user"
mapDigital,"map represented in raster or vector form"
mapHardcopy,"map printed on paper, photographic material, or other media for use directly by the human user"
modelDigital,"multi-dimensional digital representation of a feature, process, etc."
modelHardcopy,"3-dimensional, physical model"
profileDigital,"vertical cross-section in digital form"
profileHardcopy,"vertical cross-section printed on paper, etc."
tableDigital,"digital representation of facts or figures systematically displayed, especially in columns"
tableHardcopy,"representation of facts or figures systematically displayed, especially in columns, printed onpapers, photographic material, or other media"
videoDigital,"digital video recording"
videoHardcopy,"video recording on film"
