identifier,description_en
continual,"data is repeatedly and frequently updated"
daily,"data is updated each day"
weekly,"data is updated on a weekly basis"
fortnightly,"data is updated every two weeks"
monthly,"data is updated each month"
quarterly,"data is updated every three months"
biannually,"data is updated twice each year"
annually,"data is updated every year"
asNeeded,"data is updated as deemed necessary"
irregular,"data is updated in intervals that are uneven in duration"
notPlanned,"there are no plans to update the data"
unknown,"frequency of maintenance for the data is not known"
