identifier,description_en
cdRom,"read-only optical disk"
dvd,"digital versatile disk"
dvdRom,"digital versatile disk, read only"
3halfInchFloppy,"3,5 inch magnetic disk"
5quarterInchFloppy,"5,25 inch magnetic disk"
7trackTape,"7 track magnetic tape"
9trackType,"9 track magnetic tape"
3480Cartridge,"3480 cartridge tape drive"
3490Cartridge,"3490 cartridge tape drive"
3580Cartridge,"3580 cartridge tape drive"
4mmCartridgeTape,"4 millimetre magnetic tape"
8mmCartridgeTape,"8 millimetre magnetic tape"
1quarterInchCartridgeTape,"0,25 inch magnetic tape"
digitalLinearTape,"half inch cartridge streaming tape drive"
onLine,"direct computer linkage"
satellite,"linkage through a satellite communication system"
telephoneLink,"communication through a telephone network"
hardcopy,"pamphlet or leaflet giving descriptive information"
