Identifiant,Langue,Etiquette,Définition,Description,Governance level ID,Governance level Label,Codelist ID,Codelist label,Reference Source,Reference Link,Status ID,Status label,Parent ID,Successor ID,Predecessor ID
http://inspire.ec.europa.eu/codelist/SurveyTypeValue/airborneGeophysicalSurvey,fr,levé géophysique aéroporté,A 2D seismic survey may include one or more seismic lines. Geometry is the overall bounding polygon and metadata also includes responsible parties.,Campagne de mesures géophysiques aéroportées.,http://inspire.ec.europa.eu/registry/governance-level/eu-legal,Legal (EU),http://inspire.ec.europa.eu/codelist/SurveyTypeValue,Type de levé,,,http://inspire.ec.europa.eu/registry/status/valid,Validé,,,
http://inspire.ec.europa.eu/codelist/SurveyTypeValue/groundGravitySurvey,fr,levé gravimétrique au sol,A 3D seismic survey may include one or more 3D seismic measurements. Geometry is the overall bounding polygon and metadata also includes responsible parties.,Campagne de mesures gravimétriques au sol.,http://inspire.ec.europa.eu/registry/governance-level/eu-legal,Legal (EU),http://inspire.ec.europa.eu/codelist/SurveyTypeValue,Type de levé,,,http://inspire.ec.europa.eu/registry/status/valid,Validé,,,
http://inspire.ec.europa.eu/codelist/SurveyTypeValue/groundMagneticSurvey,fr,levé magnétique au sol,A borehole logging survey may include one or more borehole logging measurements. Geometry is the overall bounding polygon and metadata also includes responsible parties.,Campagne de mesures magnétiques au sol.,http://inspire.ec.europa.eu/registry/governance-level/eu-legal,Legal (EU),http://inspire.ec.europa.eu/codelist/SurveyTypeValue,Type de levé,,,http://inspire.ec.europa.eu/registry/status/valid,Validé,,,
http://inspire.ec.europa.eu/codelist/SurveyTypeValue/3DResistivitySurvey,fr,levé de résistivité 3D,A 1D resistivity survey may include any number of VES stations. Geometry is the overall bounding polygon and metadata also includes responsible parties.,Campagne de mesures multiélectrodes en courant continu en 3D.,http://inspire.ec.europa.eu/registry/governance-level/eu-legal,Legal (EU),http://inspire.ec.europa.eu/codelist/SurveyTypeValue,Type de levé,,,http://inspire.ec.europa.eu/registry/status/valid,Validé,,,
http://inspire.ec.europa.eu/codelist/SurveyTypeValue/seismologicalSurvey,fr,levé sismologique,A 2D resistivity survey may include one or more multielectrode DC profiles. Geometry is the overall bounding polygon and metadata also includes responsible parties.,Campagne de mesures sismologiques.,http://inspire.ec.europa.eu/registry/governance-level/eu-legal,Legal (EU),http://inspire.ec.europa.eu/codelist/SurveyTypeValue,Type de levé,,,http://inspire.ec.europa.eu/registry/status/valid,Validé,,,
http://inspire.ec.europa.eu/codelist/SurveyTypeValue/2DSeismicSurvey,fr,2D seismic survey,A time domain EM survey may include any number of TDEM soundings. Geometry is the overall bounding polygon and metadata also includes responsible parties.,Campaign of 2D seismic measurements,http://inspire.ec.europa.eu/registry/governance-level/eu-technical,Technical (EU),http://inspire.ec.europa.eu/codelist/SurveyTypeValue,Type de levé,,,http://inspire.ec.europa.eu/registry/status/valid,Validé,,,
http://inspire.ec.europa.eu/codelist/SurveyTypeValue/3DSeismicSurvey,fr,3D seismic survey,A frequency domain EM survey may include any number of FDEM soundings. Geometry is the overall bounding polygon and metadata also includes responsible parties.,Campaign of 3D seismic measurements,http://inspire.ec.europa.eu/registry/governance-level/eu-technical,Technical (EU),http://inspire.ec.europa.eu/codelist/SurveyTypeValue,Type de levé,,,http://inspire.ec.europa.eu/registry/status/valid,Validé,,,
http://inspire.ec.europa.eu/codelist/SurveyTypeValue/boreholeLoggingSurvey,fr,borehole logging survey,A magnetotelluric survey may include any number of MT soundings. Geometry is the overall bounding polygon and metadata also includes responsible parties.,Campaign of borehole logging measurements,http://inspire.ec.europa.eu/registry/governance-level/eu-technical,Technical (EU),http://inspire.ec.europa.eu/codelist/SurveyTypeValue,Type de levé,,,http://inspire.ec.europa.eu/registry/status/valid,Validé,,,
http://inspire.ec.europa.eu/codelist/SurveyTypeValue/1DResistivitySurvey,fr,1D resistivity survey,A georadar survey may include one or more georadar profiles. Geometry is the overall bounding polygon and metadata also includes responsible parties.,Campaign of Vertical Electric Sounding measurements,http://inspire.ec.europa.eu/registry/governance-level/eu-technical,Technical (EU),http://inspire.ec.europa.eu/codelist/SurveyTypeValue,Type de levé,,,http://inspire.ec.europa.eu/registry/status/valid,Validé,,,
http://inspire.ec.europa.eu/codelist/SurveyTypeValue/2DResistivitySurvey,fr,2D resistivity survey,A CPT survey may include any number of CPT soundings. Geometry is the overall bounding polygon and metadata also includes responsible parties.,Campaign of 2D Multielectrode DC measurements,http://inspire.ec.europa.eu/registry/governance-level/eu-technical,Technical (EU),http://inspire.ec.europa.eu/codelist/SurveyTypeValue,Type de levé,,,http://inspire.ec.europa.eu/registry/status/valid,Validé,,,
http://inspire.ec.europa.eu/codelist/SurveyTypeValue/timeDomainEMSurvey,fr,time-domain EM survey,A VSP survey may include any number of vertical seismic profiles. Geometry is the overall bounding polygon and metadata also includes responsible parties.,Campaign of Time domain EM sounding measurements,http://inspire.ec.europa.eu/registry/governance-level/eu-technical,Technical (EU),http://inspire.ec.europa.eu/codelist/SurveyTypeValue,Type de levé,,,http://inspire.ec.europa.eu/registry/status/valid,Validé,,,
http://inspire.ec.europa.eu/codelist/SurveyTypeValue/frequencyDomainEMSurvey,fr,frequency domain EM Survey,A sonar survey may include any number of individual sonar measurements. Geometry is the overall bounding polygon and metadata also includes responsible parties.,Campaign of FrequencyDomain EM sounding measurements,http://inspire.ec.europa.eu/registry/governance-level/eu-technical,Technical (EU),http://inspire.ec.europa.eu/codelist/SurveyTypeValue,Type de levé,,,http://inspire.ec.europa.eu/registry/status/valid,Validé,,,
http://inspire.ec.europa.eu/codelist/SurveyTypeValue/magnetotelluricSurvey,fr,magnetotelluric survey,A magnetotelluric survey may include any number of MT soundings. Geometry is the overall bounding polygon and metadata also includes responsible parties.,Campaign of magnetotelluric sounding measurements,http://inspire.ec.europa.eu/registry/governance-level/eu-technical,Technical (EU),http://inspire.ec.europa.eu/codelist/SurveyTypeValue,Type de levé,,,http://inspire.ec.europa.eu/registry/status/valid,Validé,,,
http://inspire.ec.europa.eu/codelist/SurveyTypeValue/geoRadarSurvey,fr,georadar survey,A georadar survey may include one or more georadar profiles. Geometry is the overall bounding polygon and metadata also includes responsible parties.,Campaign of geoRadar measurements,http://inspire.ec.europa.eu/registry/governance-level/eu-technical,Technical (EU),http://inspire.ec.europa.eu/codelist/SurveyTypeValue,Type de levé,,,http://inspire.ec.europa.eu/registry/status/valid,Validé,,,
http://inspire.ec.europa.eu/codelist/SurveyTypeValue/CPTSurvey,fr,CPT survey,A CPT survey may include any number of CPT soundings. Geometry is the overall bounding polygon and metadata also includes responsible parties.,Campaign of Cone penetration test sounding measurements,http://inspire.ec.europa.eu/registry/governance-level/eu-technical,Technical (EU),http://inspire.ec.europa.eu/codelist/SurveyTypeValue,Type de levé,,,http://inspire.ec.europa.eu/registry/status/valid,Validé,,,
http://inspire.ec.europa.eu/codelist/SurveyTypeValue/VSPSurevey,fr,VSP surevey,A VSP survey may include any number of vertical seismic profiles. Geometry is the overall bounding polygon and metadata also includes responsible parties.,Campaign of Vertical Seismic Profiling measurements,http://inspire.ec.europa.eu/registry/governance-level/eu-technical,Technical (EU),http://inspire.ec.europa.eu/codelist/SurveyTypeValue,Type de levé,,,http://inspire.ec.europa.eu/registry/status/invalid,Non valable,,http://inspire.ec.europa.eu/codelist/SurveyTypeValue/VSPSurvey,
http://inspire.ec.europa.eu/codelist/SurveyTypeValue/sonarSurvey,fr,sonar survey,A sonar survey may include any number of individual sonar measurements. Geometry is the overall bounding polygon and metadata also includes responsible parties.,Campaign of sonar mapping measurements,http://inspire.ec.europa.eu/registry/governance-level/eu-technical,Technical (EU),http://inspire.ec.europa.eu/codelist/SurveyTypeValue,Type de levé,,,http://inspire.ec.europa.eu/registry/status/valid,Validé,,,
http://inspire.ec.europa.eu/codelist/SurveyTypeValue/VSPSurvey,fr,VSP survey,A VSP survey may include any number of vertical seismic profiles. Geometry is the overall bounding polygon and metadata also includes responsible parties.,Campaign of Vertical Seismic Profiling measurements,http://inspire.ec.europa.eu/registry/governance-level/eu-technical,Technical (EU),http://inspire.ec.europa.eu/codelist/SurveyTypeValue,Type de levé,,,http://inspire.ec.europa.eu/registry/status/valid,Validé,,,http://inspire.ec.europa.eu/codelist/SurveyTypeValue/VSPSurevey
