identifier,description_en
campaign,"series of organized planned actions"
collection,"accumulation of datasets assembled for a specific purpose"
exercise,"specific performance of a function or group of functions"
experiment,"process designed to find if something is effective or valid"
investigation,"search or systematic inquiry"
mission,"specific operation of a data collection system"
sensor,"device or piece of equipment which detects or records"
operation,"action that is part of a series of actions"
platform,"vehicle or other support base that holds a sensor"
process,"method of doing something involving a number of steps"
program,"specific planned activity"
project,"organized undertaking, research, or development"
study,"examination or investigation"
task,"piece of work"
trial,"process of testing to discover or demonstrate something"
