identifier,description_en
class,"descriptor of a set of objects that share the same attributes, operations, methods, relationships, and behavior"
codelist,"flexible enumeration useful for expressing a long list of values, can be extended"
enumeration,"data type whose instances form a list of named literal values, not extendable"
codelistElement,"permissible value for a codelist or enumeration"
abstractClass,"class that cannot be directly instantiated"
aggregateClass,"class that is composed of classes it is connected to by an aggregate relationship"
specifiedClass,"subclass that may be substituted for its superclass"
datatypeClass,"class with few or no operations whose primary purpose is to hold the abstract state of another class for transmittal, storage, encoding or persistent storage"
interfaceClass,"named set of operations that characterize the behavior of an element"
unionClass,"class describing a selection of one of the specified types"
metaClass,"class whose instances are classes"
typeClass,"class used for specification of a domain of instances (objects), together with the operations applicable to the objects. A type may have attributes and associations"
characterString,"free text field"
integer,"numerical field"
association,"semantic relationship between two classes that involves connections among their instances"
