identifier,label,description,label_fr,description_fr
ucs2,,"16-bit fixed size Universal Character Set, based on ISO/IEC 10646",,"16 bits ISO/IEC 10646"
ucs4,,"32-bit fixed size Universal Character Set, based on ISO/IEC 10646",,"32 bits ISO/IEC 10646"
utf7,,"7-bit variable size UCS Transfer Format, based on ISO/IEC 10646",,"7 bits ISO/IEC 10646"
utf8,,"8-bit variable size UCS Transfer Format, based on ISO/IEC 10646",,"8 bits ISO/IEC 10646"
utf16,,"16-bit variable size UCS Transfer Format, based on ISO/IEC 10646",,"16 bits ISO/IEC 10646"
8859part1,,"ISO/IEC 8859-1, Information technology - 8-bit single byte coded graphic character sets - Part 1 : Latin alphabet No.1",,"ISO/IEC 8859-1, alphabet latin 1"
8859part2,,"ISO/IEC 8859-2, Information technology - 8-bit single byte coded graphic character sets - Part 2 : Latin alphabet No.2",,"ISO/IEC 8859-2, alphabet latin 2"
8859part3,,"ISO/IEC 8859-3, Information technology - 8-bit single byte coded graphic character sets - Part 3 : Latin alphabet No.3",,"ISO/IEC 8859-3, alphabet latin 3"
8859part4,,"ISO/IEC 8859-4, Information technology - 8-bit single byte coded graphic character sets - Part 4 : Latin alphabet No.4",,"ISO/IEC 8859-4, alphabet latin 4"
8859part5,,"ISO/IEC 8859-5, Information technology - 8-bit single byte coded graphic character sets - Part 5 : Latin/Cyrillic alphabet",,"ISO/IEC 8859-5, alphabet latin/cyrillique"
8859part6,,"ISO/IEC 8859-6, Information technology - 8-bit single byte coded graphic character sets - Part 6 : Latin/Arabic alphabet",,"ISO/IEC 8859-6, alphabet latin/arabe"
8859part7,,"ISO/IEC 8859-7, Information technology - 8-bit single byte coded graphic character sets - Part 7 : Latin/Greek alphabet",,"ISO/IEC 8859-7, alphabet latin/grec"
8859part8,,"ISO/IEC 8859-8, Information technology - 8-bit single byte coded graphic character sets - Part 8 : Latin/Hebrew alphabet",,"ISO/IEC 8859-8, alphabet latin/hébreu"
8859part9,,"ISO/IEC 8859-9, Information technology - 8-bit single byte coded graphic character sets - Part 9 : Latin alphabet No.5",,"ISO/IEC 8859-9, alphabet latin 5"
8859part10,,"ISO/IEC 8859-10, Information technology - 8-bit single byte coded graphic character sets - Part 10 : Latin alphabet No.6",,"ISO/IEC 8859-10, alphabet latin 6"
8859part11,,"ISO/IEC 8859-11, Information technology - 8-bit single byte coded graphic character sets - Part 11 : Latin/Thai alphabet",,"ISO/IEC 8859-11, alphabet latin/Thaï"
8859part13,,"ISO/IEC 8859-13, Information technology - 8-bit single byte coded graphic character sets - Part 13 : Latin alphabet No.7",,"ISO/IEC 8859-13, alphabet latin 7"
8859part14,,"ISO/IEC 8859-14, Information technology - 8-bit single byte coded graphic character sets - Part 14 : Latin alphabet No.8 (Celtic)",,"ISO/IEC 8859-14, alphabet latin 8 (celtique)"
8859part15,,"ISO/IEC 8859-15, Information technology - 8-bit single byte coded graphic character sets - Part 15 : Latin alphabet No.9",,"ISO/IEC 8859-15, alphabet latin 9"
8859part16,,"ISO/IEC 8859-16, Information technology - 8-bit single byte coded graphic character sets - Part 16 : Latin alphabet No.10",,"ISO/IEC 8859-16, alphabet latin 10"
jis,,"japanese code set used for electronic transmission",,Japonais
shiftJIS,,"japanese code set used on MS-DOS machines",,"Japonais pour MS-DOS"
eucJP,,"japanese code set used on UNIX based machines",,"Japonais pour UNIX"
usAscii,,"United States ASCII code set (ISO 646 US)",,"ISO 646 US"
ebcdic,,"IBM mainframe code set",,IBM
eucKR,,"Korean code set",,Koréen
big5,,"traditional Chinese code set used in Taiwan, Hong Kong of China and other areas",,"Chinois traditionel (Taiwan, Hong Kong, Chine)"
GB2312,,"simplified Chinese code set",,"Chinois simplifié"
