code,domain,group,identifier,label_fr,label_en,version,url,img
ETALAB2.0,data,etalab,etalab,Etalab Licence Ouverte 2.0,Etalab Open License 2.0,2.0,https://www.etalab.gouv.fr/wp-content/uploads/2017/04/ETALAB-Licence-Ouverte-v2.0.pdf,
CCBY1.0,data,cc-by,cc-by,Creative Commons Attribution 1.0  (CC BY 1.0) ,Creative Commons Attribution 1.0  (CC BY 1.0) ,1.0,https://creativecommons.org/licenses/by/1.0/legalcode,https://licensebuttons.net/l/by/1.0/88x31.png
CCBYSA1.0,data,cc-by,cc-by-sa,Creative Commons Attribution-ShareAlike 1.0 (CC BY SA 1.0) ,Creative Commons Attribution-ShareAlike 1.0 (CC BY SA 1.0) ,1.0,https://creativecommons.org/licenses/by-sa/1.0/legalcode,https://licensebuttons.net/l/by-sa/1.0/88x31.png
CCBYND1.0,data,cc-by,cc-by-nd,Creative Commons Attribution-NoDerivs 1.0 (CC BY ND 1.0) ,Creative Commons Attribution-NoDerivs 1.0 (CC BY ND 1.0) ,1.0,https://creativecommons.org/licenses/by-nd/1.0/legalcode,https://licensebuttons.net/l/by-nd/1.0/88x31.png
CCBYNC1.0,data,cc-by,cc-by-nc,Creative Commons Attribution-NonCommercial 1.0 (CC BY NC 1.0) ,Creative Commons Attribution-NonCommercial 1.0 (CC BY NC 1.0) ,1.0,https://creativecommons.org/licenses/by-nc/1.0/legalcode,https://licensebuttons.net/l/by-nc/1.0/88x31.png
CCBYNCSA1.0,data,cc-by,cc-by-nc-sa,Creative Commons Attribution-NonCommercial -ShareAlike 1.0 (CC BY NC  SA 1.0) ,Creative Commons Attribution-NonCommercial -ShareAlike 1.0 (CC BY NC  SA 1.0) ,1.0,https://creativecommons.org/licenses/by-nc-sa/1.0/legalcode,https://licensebuttons.net/l/by-nc-sa/1.0/88x31.png
CCBYNCND1.0,data,cc-by,cc-by-nc-nd,Creative Commons Attribution-NoDerivs-NonCommercial 1.0 (CC BY ND NC 1.0) ,Creative Commons Attribution-NoDerivs-NonCommercial 1.0 (CC BY ND NC 1.0) ,1.0,https://creativecommons.org/licenses/by-nd-nc/1.0/legalcode,https://licensebuttons.net/l/by-nc-nd/1.0/88x31.png
CCBY2.0,data,cc-by,cc-by,Creative Commons Attribution 2.0  (CC BY 2.0) ,Creative Commons Attribution 2.0  (CC BY 2.0) ,2.0,https://creativecommons.org/licenses/by/2.0/legalcode,https://licensebuttons.net/l/by/2.0/88x31.png
CCBYSA2.0,data,cc-by,cc-by-sa,Creative Commons Attribution-ShareAlike 2.0 (CC BY SA 2.0) ,Creative Commons Attribution-ShareAlike 2.0 (CC BY SA 2.0) ,2.0,https://creativecommons.org/licenses/by-sa/2.0/legalcode,https://licensebuttons.net/l/by-sa/2.0/88x31.png
CCBYND2.0,data,cc-by,cc-by-nd,Creative Commons Attribution-NoDerivs 2.0 (CC BY ND 2.0) ,Creative Commons Attribution-NoDerivs 2.0 (CC BY ND 2.0) ,2.0,https://creativecommons.org/licenses/by-nd/2.0/legalcode,https://licensebuttons.net/l/by-nd/2.0/88x31.png
CCBYNC2.0,data,cc-by,cc-by-nc,Creative Commons Attribution-NonCommercial 2.0 (CC BY NC 2.0) ,Creative Commons Attribution-NonCommercial 2.0 (CC BY NC 2.0) ,2.0,https://creativecommons.org/licenses/by-nc/2.0/legalcode,https://licensebuttons.net/l/by-nc/2.0/88x31.png
CCBYNCSA2.0,data,cc-by,cc-by-nc-sa,Creative Commons Attribution-NonCommercial -ShareAlike 2.0 (CC BY NC  SA 2.0) ,Creative Commons Attribution-NonCommercial -ShareAlike 2.0 (CC BY NC  SA 2.0) ,2.0,https://creativecommons.org/licenses/by-nc-sa/2.0/legalcode,https://licensebuttons.net/l/by-nc-sa/2.0/88x31.png
CCBYNCND2.0,data,cc-by,cc-by-nc-nd,Creative Commons Attribution-NonCommercial-NoDerivs 2.0 (CC BY NC ND 2.0) ,Creative Commons Attribution-NonCommercial-NoDerivs 2.0 (CC BY NC ND 2.0) ,2.0,https://creativecommons.org/licenses/by-nc-nd/2.0/legalcode,https://licensebuttons.net/l/by-nc-nd/2.0/88x31.png
CCBY3.0,data,cc-by,cc-by,Creative Commons Attribution 3.0  Unported (CC BY 3.0) ,Creative Commons Attribution 3.0  Unported (CC BY 3.0) ,3.0,https://creativecommons.org/licenses/by/3.0/legalcode,https://licensebuttons.net/l/by/3.0/88x31.png
CCBYSA3.0,data,cc-by,cc-by-sa,Creative Commons Attribution-ShareAlike 3.0 Unported (CC BY SA 3.0) ,Creative Commons Attribution-ShareAlike 3.0 Unported (CC BY SA 3.0) ,3.0,https://creativecommons.org/licenses/by-sa/3.0/legalcode,https://licensebuttons.net/l/by-sa/3.0/88x31.png
CCBYND3.0,data,cc-by,cc-by-nd,Creative Commons Attribution-NoDerivs 3.0 Unported (CC BY ND 3.0) ,Creative Commons Attribution-NoDerivs 3.0 Unported (CC BY ND 3.0) ,3.0,https://creativecommons.org/licenses/by-nd/3.0/legalcode,https://licensebuttons.net/l/by-nd/3.0/88x31.png
CCBYNC3.0,data,cc-by,cc-by-nc,Creative Commons Attribution-NonCommercial 3.0 Unported (CC BY NC 3.0) ,Creative Commons Attribution-NonCommercial 3.0 Unported (CC BY NC 3.0) ,3.0,https://creativecommons.org/licenses/by-nc/3.0/legalcode,https://licensebuttons.net/l/by-nc/3.0/88x31.png
CCBYNCSA3.0,data,cc-by,cc-by-nc-sa,Creative Commons Attribution-NonCommercial -ShareAlike 3.0 Unported (CC BY NC  SA 3.0) ,Creative Commons Attribution-NonCommercial -ShareAlike 3.0 Unported (CC BY NC  SA 3.0) ,3.0,https://creativecommons.org/licenses/by-nc-sa/3.0/legalcode,https://licensebuttons.net/l/by-nc-sa/3.0/88x31.png
CCBYNCND3.0,data,cc-by,cc-by-nc-nd,Creative Commons Attribution-NonCommercial-NoDerivs 3.0 Unported (CC BY NC ND 3.0) ,Creative Commons Attribution-NonCommercial-NoDerivs 3.0 Unported (CC BY NC ND 3.0) ,3.0,https://creativecommons.org/licenses/by-nc-nd/3.0/legalcode,https://licensebuttons.net/l/by-nc-nd/2.0/88x31.png
CCBY4.0,data,cc-by,cc-by,Creative Commons Attribution 4.0 International (CC BY 4.0) ,Creative Commons Attribution 4.0 International (CC BY 4.0) ,4.0,https://creativecommons.org/licenses/by/4.0/legalcode,https://licensebuttons.net/l/by/4.0/88x31.png
CCBYSA4.0,data,cc-by,cc-by-sa,Creative Commons Attribution-ShareAlike 4.0 International (CC BY SA 4.0) ,Creative Commons Attribution-ShareAlike 4.0 International (CC BY SA 4.0) ,4.0,https://creativecommons.org/licenses/by-sa/4.0/legalcode,https://licensebuttons.net/l/by-sa/4.0/88x31.png
CCBYND4.0,data,cc-by,cc-by-nd,Creative Commons Attribution-NoDerivatives 4.0 International (CC BY ND 4.0) ,Creative Commons Attribution-NoDerivatives 4.0 International (CC BY ND 4.0) ,4.0,https://creativecommons.org/licenses/by-nd/4.0/legalcode,https://licensebuttons.net/l/by-nd/4.0/88x31.png
CCBYNC4.0,data,cc-by,cc-by-nc,Creative Commons Attribution-NonCommercial 4.0 International (CC BY NC 4.0) ,Creative Commons Attribution-NonCommercial 4.0 International (CC BY NC 4.0) ,4.0,https://creativecommons.org/licenses/by-nc/4.0/legalcode,https://licensebuttons.net/l/by-nc/4.0/88x31.png
CCBYNCSA4.0,data,cc-by,cc-by-nc-sa,Creative Commons Attribution-NonCommercial -ShareAlike 4.0 International (CC BY NC  SA 4.0) ,Creative Commons Attribution-NonCommercial -ShareAlike 4.0 International (CC BY NC  SA 4.0) ,4.0,https://creativecommons.org/licenses/by-nc-sa/4.0/legalcode,https://licensebuttons.net/l/by-nc-sa/4.0/88x31.png
CCBYNCND4.0,data,cc-by,cc-by-nc-nd,Creative Commons Attribution-NonCommercial-NoDerivatives 4.0 International (CC BY NC ND 4.0) ,Creative Commons Attribution-NonCommercial-NoDerivatives 4.0 International (CC BY NC ND 4.0) ,4.0,https://creativecommons.org/licenses/by-nc-nd/4.0/legalcode,https://licensebuttons.net/l/by-nc-nd/4.0/88x31.png
,software,,,,,,,
