"ConceptScheme URI",https://w3id.org/formater/variable/
PREFIX,ft,https://w3id.org/formater/variable/

"Ce fichier est utilisé pour enrichir le thésaurus des mots scientifiques du gcmd"

"La traduction du label et de la définition de chaque concept serait un + (les colonnes skos:prefLabel@fr et skos:definition@fr)"
"la colonne skos:exactMatch est utilisé pour créer un lien avec les concepts d'autres thésaurus"
"   - l'URI du terme correspondant du gcmd s'y trouve déjà"
"   - pour ajouter des concepts correspondants d'autres thésaurus, il faut séparer les URI par des virgules "","""

"Les identifiants de chaque concept ont été générés automatiquement et seront modifiés ultérieurement"
" Ils ne doivent pas être modifiés car ils sont utilisés pour créer des liens entre concepts"


URI,skos:prefLabel@en,skos:prefLabel@fr,skos:definition@en,skos:definition@fr,skos:narrower,skos:broader,skos:related,skos:exactMatch
ft:solid_earth,"Solid Earth",,"Refers to ""the Earth beneath our feet"", the planet's solid surface and its interior.",,,"ft:geochemistry, ft:non_solid, ft:geomagnetism, ft:solid, ft:geothermal, ft:geomorphic, ft:gravity, ft:tectonics, ft:geodetics",,https://gcmdservices.gsfc.nasa.gov/kms/concept/2b9ad978-d986-4d63-b477-0f5efc8ace72
ft:geochemistry,Geochemistry,,"Pertaining to the study of the chemical composition of the various phases of the earth, and the physical and chemical processes which have produced the observed distribution of the elements and the nuclides in these phases.",,ft:solid_earth,"ft:geochemistry-biogeochemical_processes, ft:geochemistry-marine_geochemical_processes, ft:geochemistry-geochemical_processes, ft:geochemistry-geochemical_properties",,https://gcmdservices.gsfc.nasa.gov/kms/concept/906e647b-2683-4ae7-9986-1aea15582b52
ft:geochemistry-biogeochemical_processes,"Biogeochemical processes",,"A pathway by which a chemical element or molecule moves through both biotic (biosphere) and abiotic (lithosphere, atmosphere, and hydrosphere) compartments of Earth. The term “biogeochemical” tells us that biological; geological and chemical factors are all involved. On the other hand the circulation of chemical nutrients like carbon, oxygen, nitrogen, phosphorus, calcium, and water etc. through the biological and physical world are known as biogeochemical cycle.",,ft:geochemistry,"ft:geochemistry-biogeochemical_processes-hydrolysis, ft:geochemistry-biogeochemical_processes-chemical_decomposition, ft:geochemistry-biogeochemical_processes-nitrification",,https://gcmdservices.gsfc.nasa.gov/kms/concept/b472632f-8e67-4892-9896-1c14c5089682
ft:geochemistry-biogeochemical_processes-hydrolysis,Hydrolysis,,"The monomers of organic compounds join together by a chemical reaction know as dehydration synthesis to make polymers. The reverse reaction of breaking up polymers is accomplished by another chemical reaction known as hyrdolysis.",,ft:geochemistry-biogeochemical_processes,,,https://gcmdservices.gsfc.nasa.gov/kms/concept/8c6adb44-54c5-42f1-ae19-602e248ff9d9
ft:geochemistry-biogeochemical_processes-chemical_decomposition,"Chemical decomposition",,"The separation of a chemical compound into elements or simpler compounds. It is sometimes defined as the exact opposite of a chemical synthesis. Chemical decomposition is often an undesired chemical reaction. The stability that a chemical compound ordinarily has is eventually limited when exposed to extreme environmental conditions like heat, radiation, humidity or the acidity of a solvent. The details of decomposition processes are generally not well defined, as a molecule may break up into a host of smaller fragments. Chemical decomposition is exploited in several analytical techniques, notably mass spectrometry, traditional gravimetric analysis, and thermogravimetric analysis.",,ft:geochemistry-biogeochemical_processes,,,https://gcmdservices.gsfc.nasa.gov/kms/concept/14d972b3-a587-4994-a021-f1e620b02341
ft:geochemistry-biogeochemical_processes-nitrification,Nitrification,,"The biological oxidation of ammonia with oxygen into nitrite followed by the oxidation of these nitrites into nitrates. Degradation of ammonia to nitrite is usually the rate limiting step of nitrification. Nitrification is an important step in the nitrogen cycle in soil.",,ft:geochemistry-biogeochemical_processes,,,https://gcmdservices.gsfc.nasa.gov/kms/concept/d73ed320-cd5b-4994-a26a-dac5a2fc394f
ft:geochemistry-marine_geochemical_processes,"Marine geochemical processes",,"Processes that control chemical distributions in the ocean.",,ft:geochemistry,"ft:geochemistry-marine_geochemical_processes-mineral_dissolution, ft:geochemistry-marine_geochemical_processes-dissolution, ft:geochemistry-marine_geochemical_processes-chemical_decomposition",,https://gcmdservices.gsfc.nasa.gov/kms/concept/5cef2f41-a17a-4eff-8ce4-328593e1b703
ft:geochemistry-marine_geochemical_processes-mineral_dissolution,"Mineral dissolution",,"The separation of minerals into different components. Mineral dissolution and precipitation, especially of Fe and Mn (hydr)oxides and the carbonate mineral family, partially regulate pH and alkalinity of natural waters, affecting the fate and transport of organic and inorganic contaminants.",,ft:geochemistry-marine_geochemical_processes,,,https://gcmdservices.gsfc.nasa.gov/kms/concept/f956cc7c-da39-4eac-98ab-ba6207181b7d
ft:geochemistry-marine_geochemical_processes-dissolution,Dissolution,,"The process by which a solid or liquid forms a solution in a solvent. In solids this can be explained as the breakdown of the crystal lattice into individual ions, atoms or molecules and their transport into the solvent.",,ft:geochemistry-marine_geochemical_processes,,,https://gcmdservices.gsfc.nasa.gov/kms/concept/6628bfb9-c0e1-4281-9b1a-d213a9d5b2d8
ft:geochemistry-marine_geochemical_processes-chemical_decomposition,"Chemical decomposition",,"The separation of a chemical compound into elements or simpler compounds. It is sometimes defined as the exact opposite of a chemical synthesis. Chemical decomposition is often an undesired chemical reaction. The stability that a chemical compound ordinarily has is eventually limited when exposed to extreme environmental conditions like heat, radiation, humidity or the acidity of a solvent. The details of decomposition processes are generally not well defined, as a molecule may break up into a host of smaller fragments. Chemical decomposition is exploited in several analytical techniques, notably mass spectrometry, traditional gravimetric analysis, and thermogravimetric analysis.",,ft:geochemistry-marine_geochemical_processes,,,https://gcmdservices.gsfc.nasa.gov/kms/concept/4efb531e-3c6c-4469-9215-d55a8a6ce9da
ft:geochemistry-geochemical_processes,"Geochemical processes",,"Processes affecting the amount, distribution, or structure of chemical elements in air, water, soil, rocks, and minerals.",,ft:geochemistry,"ft:geochemistry-geochemical_processes-chemical_fixation, ft:geochemistry-geochemical_processes-chemical_weathering, ft:geochemistry-geochemical_processes-hydration, ft:geochemistry-geochemical_processes-ion_exchange, ft:geochemistry-geochemical_processes-oxidation-reduction, ft:geochemistry-geochemical_processes-biodegration, ft:geochemistry-geochemical_processes-mineral_dissolution, ft:geochemistry-geochemical_processes-carbonate_formation, ft:geochemistry-geochemical_processes-decomposition",,https://gcmdservices.gsfc.nasa.gov/kms/concept/e6fb1b81-8ffc-486f-b1a1-2f292af8cee6
ft:geochemistry-geochemical_processes-chemical_fixation,"Chemical fixation",,"Pertaining to the chemical process by which a substance is converted into a stable compound that can be absorbed.",,ft:geochemistry-geochemical_processes,,,https://gcmdservices.gsfc.nasa.gov/kms/concept/84b29fbe-8200-4d21-a1a3-fe84fa4cb132
ft:geochemistry-geochemical_processes-chemical_weathering,"Chemical weathering",,"Pertaining to the breakdown of an existing rock or mineral through chemical, as opposed to physical, means; i.e., dissolution of limestone by acidic groundwater.",,ft:geochemistry-geochemical_processes,,,https://gcmdservices.gsfc.nasa.gov/kms/concept/7e140a1e-385d-4dd3-8b08-6239b082e35e
ft:geochemistry-geochemical_processes-hydration,Hydration,,"Pertaining to the process by which water molecules are incorporated into existing crystal structures.",,ft:geochemistry-geochemical_processes,,,https://gcmdservices.gsfc.nasa.gov/kms/concept/2b1f870b-c679-4b6d-b02e-3eb005f0648d
ft:geochemistry-geochemical_processes-ion_exchange,"Ion exchange",,"Pertaining to the chemical process by which ions move from one crystal structure or molecular substance to another across contact boundaries.",,ft:geochemistry-geochemical_processes,,,https://gcmdservices.gsfc.nasa.gov/kms/concept/ccbf4ef8-955b-4337-a45b-95affc360173
ft:geochemistry-geochemical_processes-oxidation-reduction,Oxidation/reduction,,"Describes all chemical reactions in which atoms have their oxidation number (oxidation state) changed. This can be either a simple redox process, such as the oxidation of carbon to yield carbon dioxide (CO2) or the reduction of carbon by hydrogen to yield methane (CH4), or a complex process such as the oxidation of sugar (C6H12O6) in the human body through a series of complex electron transfer processes.",,ft:geochemistry-geochemical_processes,,,https://gcmdservices.gsfc.nasa.gov/kms/concept/9c2f3bee-4629-4607-9962-12fe919594a0
ft:geochemistry-geochemical_processes-biodegration,Biodegration,,"The chemical dissolution of materials by bacteria or other biological means. The term is often used in relation to ecology, waste management, biomedicine, and the natural environment (bioremediation) and is now commonly associated with environmentally friendly products that are capable of decomposing back into natural elements. Organic material can be degraded aerobically with oxygen, or anaerobically, without oxygen. A term related to biodegradation is biomineralisation, in which organic matter is converted into minerals. Biosurfactant, an extracellular surfactant secreted by microorganisms, enhances the biodegradation process.",,ft:geochemistry-geochemical_processes,,,https://gcmdservices.gsfc.nasa.gov/kms/concept/3e934184-42bd-45ff-b9c1-5c5321fd066f
ft:geochemistry-geochemical_processes-mineral_dissolution,"Mineral dissolution",,"The separation of minerals into different components. Mineral dissolution and precipitation, especially of Fe and Mn (hydr)oxides and the carbonate mineral family, partially regulate pH and alkalinity of natural waters, affecting the fate and transport of organic and inorganic contaminants.",,ft:geochemistry-geochemical_processes,,,https://gcmdservices.gsfc.nasa.gov/kms/concept/524cbe78-9c1f-4ef3-8aa9-0481476c253e
ft:geochemistry-geochemical_processes-carbonate_formation,"Carbonate formation",,"The formation of carbonate, a salt of carbonic acid, characterized by the presence of the carbonate ion.",,ft:geochemistry-geochemical_processes,,,https://gcmdservices.gsfc.nasa.gov/kms/concept/b2a9741a-f978-46ac-83ad-e92ff07a637c
ft:geochemistry-geochemical_processes-decomposition,Decomposition,,"The separation of a chemical compound into elements or simpler compounds. It is sometimes defined as the exact opposite of a chemical synthesis. Chemical decomposition is often an undesired chemical reaction. The stability that a chemical compound ordinarily has is eventually limited when exposed to extreme environmental conditions like heat, radiation, humidity or the acidity of a solvent. The details of decomposition processes are generally not well defined, as a molecule may break up into a host of smaller fragments. Chemical decomposition is exploited in several analytical techniques, notably mass spectrometry, traditional gravimetric analysis, and thermogravimetric analysis.",,ft:geochemistry-geochemical_processes,,,https://gcmdservices.gsfc.nasa.gov/kms/concept/7b60ab41-92e7-4550-821b-0ab7ebd3d7c8
ft:geochemistry-geochemical_properties,"Geochemical properties",,"An attribute, quality, or characteristic of chemical elements in air, water, soil, rocks, and minerals.",,ft:geochemistry,"ft:geochemistry-geochemical_properties-isotopes, ft:geochemistry-geochemical_properties-chemical_concentrations, ft:geochemistry-geochemical_properties-rock-eval_pryolysis, ft:geochemistry-geochemical_properties-isotope_measurements, ft:geochemistry-geochemical_properties-isotope_ratios, ft:geochemistry-geochemical_properties-isotopic_age",,https://gcmdservices.gsfc.nasa.gov/kms/concept/048df94e-841d-4f4d-a5c5-6683d1d07aa6
ft:geochemistry-geochemical_properties-isotopes,Isotopes,,"Pertaining to the measurement of the various isotopes (one of two or more species of the same chemical element) found in geochemically significant compounds.",,ft:geochemistry-geochemical_properties,,,https://gcmdservices.gsfc.nasa.gov/kms/concept/441ce068-91f2-4412-8893-c0096d8f9079
ft:geochemistry-geochemical_properties-chemical_concentrations,"Chemical concentrations",,"The abundance of a constituent divided by the total volume of a mixture. Furthermore, in chemistry, four types of mathematical description can be distinguished: mass concentration, molar concentration, number concentration, and volume concentration.",,ft:geochemistry-geochemical_properties,,,https://gcmdservices.gsfc.nasa.gov/kms/concept/12ed4fa0-27cc-4e05-a2b7-bbf2fde871f6
ft:geochemistry-geochemical_properties-rock-eval_pryolysis,"Rock-eval pryolysis",,"Rock-Eval Pyrolysis is used to identify the type and maturity of organic matter and to detect petroleum potential in sediments. Rock Eval pyrolysis is done using the Delsi-Nermag Rock Eval II Plus TOC module. Samples chosen to be measured on the Rock Eval are usually subsampled from the freeze-dried material previously crushed for analyses on the coulometer and CNS. The Rock Eval (RE) pyrolysis method consists of a programmed temperature heating (in a pyrolysis oven) in an inert atmosphere (helium) of a small sample (~100 mg) to quantitatively and selectively determine (1) the free hydrocarbons contained in the sample and (2) the hydrocarbon- and oxygen-containing compounds (CO2) that are volatilized during the cracking of the unextractable organic matter in the sample (kerogen).",,ft:geochemistry-geochemical_properties,,,https://gcmdservices.gsfc.nasa.gov/kms/concept/2dc96cc9-a128-4dc8-b8c8-1d799201b5c6
ft:geochemistry-geochemical_properties-isotope_measurements,"Isotope measurements",,"The measure of Isotopes, atoms that contain different # of proton /neutrons. The number of protons (the atomic number) is the same for each isotope, e.g. carbon-12, carbon-13 and carbon-14 each have 6 protons, but the number of neutrons in each isotope differs.",,ft:geochemistry-geochemical_properties,,,https://gcmdservices.gsfc.nasa.gov/kms/concept/849edfe2-9ed7-4211-8f57-9c8ccff0a4ea
ft:geochemistry-geochemical_properties-isotope_ratios,"Isotope ratios",,"The identification of isotopic signature, the distribution of certain stable isotopes and chemical elements within chemical compounds. This can be applied to a food web to make it possible to draw direct inferences regarding diet, trophic level, and subsistence. Isotope ratios are measured using mass spectrometry, which separates the different isotopes of an element on the basis of their mass-to-charge ratio.",,ft:geochemistry-geochemical_properties,,,https://gcmdservices.gsfc.nasa.gov/kms/concept/f7998303-d145-452d-bcff-770f62038909
ft:geochemistry-geochemical_properties-isotopic_age,"Isotopic age",,"Also referred to as radiometric age, is an age of rocks expressed in years and calculated from the quantitative determination of radioactive elements and their decay products.",,ft:geochemistry-geochemical_properties,,,https://gcmdservices.gsfc.nasa.gov/kms/concept/211d289d-fae7-4815-9f3d-28a5afc7b3a9
ft:non_solid,"Earth gases/liquids",,"Properties and characteristics related to the gases and liquids within the solid earth.",,ft:solid_earth,"ft:non_solid-petroleum, ft:non_solid-natural_gas, ft:non_solid-reclamation-revegetation-restoration, ft:non_solid-hydrogen_gas",,https://gcmdservices.gsfc.nasa.gov/kms/concept/e3fa1998-b003-4d55-a92e-16b42ac0fc17
ft:non_solid-petroleum,Petroleum,,"Petroleum is a naturally occurring flammable liquid consisting of a complex mixture of hydrocarbons of various molecular weights and other liquid organic compounds, that are found in geologic formations beneath the Earth's surface. The name Petroleum covers both naturally occurring unprocessed crude oils and petroleum products that are made up of refined crude oil.",,ft:non_solid,"ft:non_solid-petroleum-microfossil, ft:non_solid-petroleum-petroleum_vertical-geographic_distribution",,https://gcmdservices.gsfc.nasa.gov/kms/concept/44d0ad8f-fe22-4d17-bc47-c0b728a82baf
ft:non_solid-petroleum-microfossil,Microfossil,,"Microfossils are the tiny remains of bacteria, protists, fungi, animals, and plants. Microfossils are a heterogeneous bunch of fossil remains studied as a single discipline because rock samples must be processed in certain ways to remove them and microscopes must be used to study them. Thus, microfossils, unlike other kinds of fossils, are not grouped according to their relationships to one another, but only because of their generally small size and methods of study. For example, fossils of bacteria, foraminifera, diatoms, very small invertebrate shells or skeletons, pollen, and tiny bones and teeth of large vertebrates, among others, can be called microfossils. But it is an unnatural grouping. Nevertheless, this utilitarian subdivision of paleontology, first recognized in 1883, is very significant in geology, paleontology, and biology. 

Microfossils have many applications to petroleum geology (Fleisher and Lane, in press, Ventress, 1991, LeRoy, 1977). The two most common uses are: biostratigraphy and paleoenvironmental analyses. Biostratigraphy is the differentiation of rock units based upon the fossils which they contain. Paleoenvironmental analysis is the interpretation of the depositional environment in which the rock unit formed, based upon the fossils found within the unit. There are many other uses of fossils besides these, including: paleoclimatology, biogeography, and thermal maturation.",,ft:non_solid-petroleum,,,https://gcmdservices.gsfc.nasa.gov/kms/concept/37f3fdb8-a82f-4bff-bda4-cca12a683d6f
ft:non_solid-petroleum-petroleum_vertical-geographic_distribution,"Petroleum vertical/geographic distribution",,"The vertical and geographic distribution of petroleum within the solid Earth.",,ft:non_solid-petroleum,,,https://gcmdservices.gsfc.nasa.gov/kms/concept/f9e3595d-29b6-462a-8eb6-a06e5a02b081
ft:non_solid-natural_gas,"Natural gas",,"Natural gas is a fossil fuel formed when layers of buried plants and animals are exposed to intense heat and pressure over thousands of years. The energy that the plants and animals originally obtained from the sun is stored in the form of carbon in natural gas. Natural gas is combusted to generate electricity, enabling this stored energy to be transformed into usable power. Natural gas is a nonrenewable resource because it cannot be replenished on a human time frame.",,ft:non_solid,ft:non_solid-natural_gas-natural_gas_vertical-geographic_distribution,,https://gcmdservices.gsfc.nasa.gov/kms/concept/72eb280a-d5d0-4c5e-b789-8f1a8cf8bdac
ft:non_solid-natural_gas-natural_gas_vertical-geographic_distribution,"Natural gas vertical/geographic distribution",,"The vertical and geographic distribution of natural gas within the solid Earth.",,ft:non_solid-natural_gas,,,https://gcmdservices.gsfc.nasa.gov/kms/concept/58769369-608c-4482-924b-207454a5fb1c
ft:non_solid-reclamation-revegetation-restoration,Reclamation/revegetation/restoration,,"Pertaining to the recovery of land altered in the mining/drilling/processing of natural resources.",,ft:non_solid,,,https://gcmdservices.gsfc.nasa.gov/kms/concept/4add3005-9151-4b8d-a0bc-14c3908ef3a9
ft:non_solid-hydrogen_gas,"Hydrogen gas",,"Hydrogen gas is colorless, odorless, tasteless, flammable, and nontoxic. Hydrogen gas exists as a gas at ambient temperatures and atmospheric pressures. Hydrogen gas is the lightest gas known with a density approximately 0.07 that of air. The concentration of hydrogen gas in the atmosphere volume is 5.0 x 10-5%. Hydrogen is principally shipped and used in gaseous form for refineries, petrochemical companies for hydrotreating, catalytic reforming and hydrocracking. Hydrogen is also used in heat treating, metal production, welding, lasers, plastics, food production, and semiconductors.",,ft:non_solid,ft:non_solid-hydrogen_gas-hydrogen_gas_vertical-geographic_distribution,,https://gcmdservices.gsfc.nasa.gov/kms/concept/96bbae63-81c1-43b4-90f0-52731e2b52ca
ft:non_solid-hydrogen_gas-hydrogen_gas_vertical-geographic_distribution,"Hydrogen gas vertical/geographic distribution",,"The vertical and geographic distribution of hydrogen gas within the solid Earth.",,ft:non_solid-hydrogen_gas,,,https://gcmdservices.gsfc.nasa.gov/kms/concept/833b6958-fc93-473c-aadb-bb65da7578e5
ft:geomagnetism,Geomagnetism,,"The magnetism of the earth. Also known as terrestrial magnetism. 
",,ft:solid_earth,"ft:geomagnetism-geomagnetic_indices, ft:geomagnetism-reference_fields, ft:geomagnetism-electrical_field, ft:geomagnetism-geomagnetic_forecasts, ft:geomagnetism-magnetic_field, ft:geomagnetism-paleomagnetism",,https://gcmdservices.gsfc.nasa.gov/kms/concept/910013d7-1e6a-4d1a-9921-be32d792a290
ft:geomagnetism-geomagnetic_indices,"Geomagnetic indices",,"Magnetic activity indicies that describe variation in the geomagnetic field caused by irregular current systems.Typical geomagntic indices are: a, A, Ap, Dst, K, and Kp",,ft:geomagnetism,"ft:geomagnetism-geomagnetic_indices-aa_index, ft:geomagnetism-geomagnetic_indices-am_index, ft:geomagnetism-geomagnetic_indices-kp_index, ft:geomagnetism-geomagnetic_indices-dst_index, ft:geomagnetism-geomagnetic_indices-ae_index",,https://gcmdservices.gsfc.nasa.gov/kms/concept/ae35f430-6534-49de-8b4c-edfc1e98870a
ft:geomagnetism-geomagnetic_indices-aa_index,"Aa index",,"A daily and half daily index of geomagnetic activity determined from the k indexes scaled at two nearly antipodal stations at invariant magnetic latitude 50 degrees (Hartland, England, and Canberra, Australia). The aa values are in units of 1 nT. The index is available back to 1868, and is provided by the Institut de Physique du Globe de Paris, France.",,ft:geomagnetism-geomagnetic_indices,,,https://gcmdservices.gsfc.nasa.gov/kms/concept/5fd5ccc2-5edb-4823-940d-03a290a5c5fc
ft:geomagnetism-geomagnetic_indices-am_index,"Am index",,"A mean, 3-hourly ""equivalent amplitude"" of geomagnetic activity based on standardized K index data from a global network of 23 Northern and Southern Hemisphere stations by the Institut de Physique du Globe de Paris, France; am values are given in units of 1 nT.",,ft:geomagnetism-geomagnetic_indices,,,https://gcmdservices.gsfc.nasa.gov/kms/concept/b3283844-d867-4c2f-9917-a72bc06fd9ef
ft:geomagnetism-geomagnetic_indices-kp_index,"Kp index",,"A 3-hourly planetary index of geomagnetic activity calculated by the Institut fur Geophysik der Gottingen Universitat, F.R. Germany, from the K indexes observed at 13 stations primarily in the Northern Hemisphere. The Kp indexes, which date from 1932, are used to determine the ap indexes.",,ft:geomagnetism-geomagnetic_indices,,,https://gcmdservices.gsfc.nasa.gov/kms/concept/40386eea-beb0-4b83-906b-75c6bfa24b73
ft:geomagnetism-geomagnetic_indices-dst_index,"Dst index",,"A measure of variation in the geomagnetic field due to the equatorial ring current. It is computed from the H-components at approximately four near-equatorial stations at hourly intervals. At a given time, the Dst index is the average of variation over all longitudes; the reference level is set so that Dst is statistically zero on internationally designated quiet days. An index of -50 or deeper indicates a storm-level disturbance, and an index of -200 or deeper is associated with middle-latitude auroras. Dst is determined by the World Data Center C2 for Geomagnetism, Kyoto University, Kyoto, Japan.",,ft:geomagnetism-geomagnetic_indices,,,https://gcmdservices.gsfc.nasa.gov/kms/concept/cdb4b514-75c4-4a1f-a4ad-1855fbd396ab
ft:geomagnetism-geomagnetic_indices-ae_index,"Ae index",,"The AE Index is designed to provide a global, quantitative measure of auroral zone magnetic activity produced by enhanced Ionospheric currents flowing below and within the auroral oval. Ideally, It is the total range of deviation at an instant of time from quiet day values of the horizontal magnetic field (h) around the auroral oval. Defined and developed by Davis and Sugiura [1966], AE has been usefully employed both qualitatively and quantitatively as a correlative index in studies of substorm morphology, the behavior of communication satellites, radio propagation, radio scintillation, and the coupling between the interplanetary magnetic field and the earth's magnetosphere. For these varied uses, AE possesses advantages over other geomagnetic indices or at least shares their advantageous properties.",,ft:geomagnetism-geomagnetic_indices,,,https://gcmdservices.gsfc.nasa.gov/kms/concept/31f77d6b-72f7-45e6-93be-8ac5fd5dc373
ft:geomagnetism-reference_fields,"Reference fields",,"Pertaining to the baseline state of the Earth's magnetic field used to base all other measurements from.",,ft:geomagnetism,,,https://gcmdservices.gsfc.nasa.gov/kms/concept/fd631e31-fe6f-462e-a3f6-c07b4b736ac7
ft:geomagnetism-electrical_field,"Electrical field",,"The electric force per unit charge. The direction of the field is taken to be the direction of the force it would exert on a positive test charge. The electric field is radially outward from a positive charge and radially in toward a negative point charge.",,ft:geomagnetism,"ft:geomagnetism-electrical_field-electrical_intensity, ft:geomagnetism-electrical_field-electrical_anomalies",,https://gcmdservices.gsfc.nasa.gov/kms/concept/3202dab6-144a-4bfb-9bda-9d07e5ee7ec2
ft:geomagnetism-electrical_field-electrical_intensity,"Electrical intensity",,"The ratio of the electrostatic force exerted on a body to the charge on the body.",,ft:geomagnetism-electrical_field,,,https://gcmdservices.gsfc.nasa.gov/kms/concept/84d77f98-d5a2-4da8-9ba6-0b15e082d050
ft:geomagnetism-electrical_field-electrical_anomalies,"Electrical anomalies",,"A deviation from the normal or common order or form or rule.",,ft:geomagnetism-electrical_field,,,https://gcmdservices.gsfc.nasa.gov/kms/concept/d55d29e8-9015-4c23-b137-528eb298aa49
ft:geomagnetism-geomagnetic_forecasts,"Geomagnetic forecasts",,"Forecasts of the likelihood (from 1% to 99%) that the daily geomagnetic activity level will reach a particular activity category. The four categories are Quiet to Unsettled, Active, Minor Storm, and Major to Severe Storm. The geomagnetic category assigned to a day is determined by the highest observed k-index for the day. Quiet to Unsettled = k 0 to k 3, Active = k 4, Minor Storm = k 5, and Major to Severe Storm = k 6 to k 9. Middle-latitude forecasts are verified against Fredericksburg, VA observations and High-latitude forecasts are verified against College, AK observations. Forecast lead times range from one to three days.",,ft:geomagnetism,"ft:geomagnetism-geomagnetic_forecasts-total_intensity, ft:geomagnetism-geomagnetic_forecasts-geomagnetic_activity, ft:geomagnetism-geomagnetic_forecasts-geomagnetic_storm_category",,https://gcmdservices.gsfc.nasa.gov/kms/concept/02290e22-24ae-40f6-96f1-0c6c76a145af
ft:geomagnetism-geomagnetic_forecasts-total_intensity,"Total intensity",,"The magnetic intensity of the Earth's pull on an object, such as a satellite and measured by

X (easterly intensity),

Y (northerly intensity) and,

Z (vertical intensity, positive downwards).",,ft:geomagnetism-geomagnetic_forecasts,,,https://gcmdservices.gsfc.nasa.gov/kms/concept/9a46a62c-952d-4253-8249-7375c14068a2
ft:geomagnetism-geomagnetic_forecasts-geomagnetic_activity,"Geomagnetic activity",,"Natural variations in the geomagnetic field classified into quiet, unsettled, active, and geomagnetic storm levels.",,ft:geomagnetism-geomagnetic_forecasts,,,https://gcmdservices.gsfc.nasa.gov/kms/concept/2d3d9a57-44e8-43c0-98b4-b4891c994862
ft:geomagnetism-geomagnetic_forecasts-geomagnetic_storm_category,"Geomagnetic storm category",,"A category or scale that describe the environmental disturbances for three event types: geomagnetic storms, solar radiation storms, and radio blackouts. The scales have numbered levels, analogous to hurricanes, tornadoes, and earthquakes that convey severity. They list possible effects at each level. They also show how often such events happen, and give a measure of the intensity of the physical causes.",,ft:geomagnetism-geomagnetic_forecasts,,,https://gcmdservices.gsfc.nasa.gov/kms/concept/4b7decec-e378-4824-aecf-9fe509392efd
ft:geomagnetism-magnetic_field,"Magnetic field",,"Pertaining to the magnetic field generated by the Earth, consisting of both the dipole and non-dipole components.",,ft:geomagnetism,"ft:geomagnetism-magnetic_field-magnetic_declination, ft:geomagnetism-magnetic_field-geomagnetic_induction, ft:geomagnetism-magnetic_field-magnetic_anomalies, ft:geomagnetism-magnetic_field-magnetic_inclination, ft:geomagnetism-magnetic_field-magnetic_intensity",,https://gcmdservices.gsfc.nasa.gov/kms/concept/204b482b-449b-42c9-a5bb-f6da42bee3a4
ft:geomagnetism-magnetic_field-magnetic_declination,"Magnetic declination",,"Pertaining to the angle, expressed in degrees east or west, to indicate the direction of magnetic north from true north.",,ft:geomagnetism-magnetic_field,,,https://gcmdservices.gsfc.nasa.gov/kms/concept/f311eac7-5c85-4a8f-90c2-abcff3eec92d
ft:geomagnetism-magnetic_field-geomagnetic_induction,"Geomagnetic induction",,"Geomagnetic electromotive force generated in a closed circuit by a change in the flow of currents.",,ft:geomagnetism-magnetic_field,,,https://gcmdservices.gsfc.nasa.gov/kms/concept/ee421700-0fe2-420c-9a07-91e8ae9fb524
ft:geomagnetism-magnetic_field-magnetic_anomalies,"Magnetic anomalies",,"Local variation in the Earth's magnetic field resulting from variations in the chemistry or magnetism of the rocks. Mapping of variation over an area is valuable in detecting structures obscured by overlying material. The magnetic variation in successive bands of ocean floor parallel with mid-ocean ridges is important evidence supporting the theory of seafloor spreading, central to plate tectonics.",,ft:geomagnetism-magnetic_field,,,https://gcmdservices.gsfc.nasa.gov/kms/concept/65ae8ab2-489b-44bf-bf5b-43cf957b70c0
ft:geomagnetism-magnetic_field-magnetic_inclination,"Magnetic inclination",,"The dip, angle of dip, magnetic dip, magnetic inclination, inclination (physics) the angle that a magnetic needle makes with the plane of the horizon.",,ft:geomagnetism-magnetic_field,,,https://gcmdservices.gsfc.nasa.gov/kms/concept/f0b7311e-df08-45fa-8dd5-33b6f74a66d9
ft:geomagnetism-magnetic_field-magnetic_intensity,"Magnetic intensity",,"Pertaining to measurements of the strength of the Earth's magnetic field.",,ft:geomagnetism-magnetic_field,,,https://gcmdservices.gsfc.nasa.gov/kms/concept/d817911a-685b-4c9f-bdc7-2411b8c0a7af
