Keyword Version: 8.5,Revision: 2018-02-09 13:07:18,Timestamp: 2018-02-15 08:42:56,Terms Of Use: http://gcmd.nasa.gov/r/l/TermsOfUse,"The most up to date XML representations can be found here: https://gcmdservices.gsfc.nasa.gov/kms/concepts/concept_scheme/sciencekeywords/?format=xml""Case native",,,
Category,Topic,Term,Variable_Level_1,Variable_Level_2,Variable_Level_3,Detailed_Variable,UUID
EARTH SCIENCE,CLIMATE INDICATORS,PALEOCLIMATE INDICATORS,ALUMINUM-26 ANALYSIS,,,,1efdd374-40a1-4118-a1da-61c647017ec9
EARTH SCIENCE,CLIMATE INDICATORS,PALEOCLIMATE INDICATORS,BERYLLIUM-10 ANALYSIS,,,,4bd6aafb-9240-4006-ada3-4b6a0501b612
EARTH SCIENCE,CLIMATE INDICATORS,PALEOCLIMATE INDICATORS,BIOLOGICAL RECORDS,BIOMARKER,,,625ac4b3-a126-4c98-a061-3a780b942280
EARTH SCIENCE,CLIMATE INDICATORS,PALEOCLIMATE INDICATORS,BIOLOGICAL RECORDS,CORAL DEPOSITS,,,afeb9962-d3e8-4260-ab2b-e62e11099e31
EARTH SCIENCE,CLIMATE INDICATORS,PALEOCLIMATE INDICATORS,BIOLOGICAL RECORDS,FAUNA,,,cffe377f-d840-4bcf-9223-8379b72defe7
EARTH SCIENCE,CLIMATE INDICATORS,PALEOCLIMATE INDICATORS,BIOLOGICAL RECORDS,MACROFOSSILS,,,14c78811-5296-4095-9c44-26362914e798
EARTH SCIENCE,CLIMATE INDICATORS,PALEOCLIMATE INDICATORS,BIOLOGICAL RECORDS,MICROFOSSILS,,,0aa423e0-bc21-4d74-894d-a0dfcf17fae5
EARTH SCIENCE,CLIMATE INDICATORS,PALEOCLIMATE INDICATORS,BIOLOGICAL RECORDS,PALEOVEGETATION,,,fbd867cf-f7e8-4dbc-9fd2-2ccc0728350f
EARTH SCIENCE,CLIMATE INDICATORS,PALEOCLIMATE INDICATORS,BIOLOGICAL RECORDS,POLLEN,,,59719c53-a2b7-4200-9b3c-dfa5d39607f7
EARTH SCIENCE,CLIMATE INDICATORS,PALEOCLIMATE INDICATORS,BIOLOGICAL RECORDS,POPULATION ABUNDANCE,,,7bc06198-5546-40f5-97ac-b7b5b5503cfc
EARTH SCIENCE,CLIMATE INDICATORS,PALEOCLIMATE INDICATORS,BIOLOGICAL RECORDS,TREE RINGS,ISOTOPIC ANALYSIS,CARBON ISOTOPE,437f13e8-0b8a-44a2-a7fd-5b41a00299db
EARTH SCIENCE,CLIMATE INDICATORS,PALEOCLIMATE INDICATORS,BIOLOGICAL RECORDS,TREE RINGS,ISOTOPIC ANALYSIS,HYDROGEN ISOTOPE,89387757-3548-4fe0-a383-d8f935f07c71
EARTH SCIENCE,CLIMATE INDICATORS,PALEOCLIMATE INDICATORS,BIOLOGICAL RECORDS,TREE RINGS,ISOTOPIC ANALYSIS,OXYGEN ISOTOPE,e91ff41a-5cf5-460b-b765-c553ca2a4ae2
EARTH SCIENCE,CLIMATE INDICATORS,PALEOCLIMATE INDICATORS,BIOLOGICAL RECORDS,TREE RINGS,ISOTOPIC ANALYSIS,,bd1834b0-4f8f-4616-b330-6205bff567c2
EARTH SCIENCE,CLIMATE INDICATORS,PALEOCLIMATE INDICATORS,BIOLOGICAL RECORDS,TREE RINGS,,,6444fc67-8cad-41c0-9ded-e93f604ba8b0
EARTH SCIENCE,CLIMATE INDICATORS,PALEOCLIMATE INDICATORS,BIOLOGICAL RECORDS,,,,5553fe9d-ab0a-4305-86a6-1f7f697e15e4
EARTH SCIENCE,CLIMATE INDICATORS,PALEOCLIMATE INDICATORS,ICE CORE RECORDS,CARBON DIOXIDE,,,b53939ae-1264-409d-8434-3bb3d22b2848
EARTH SCIENCE,CLIMATE INDICATORS,PALEOCLIMATE INDICATORS,ICE CORE RECORDS,ELECTRICAL PROPERTIES,,,a2987914-ed66-4b7c-964d-8eccf0174e57
EARTH SCIENCE,CLIMATE INDICATORS,PALEOCLIMATE INDICATORS,ICE CORE RECORDS,ICE CORE AIR BUBBLES,,,42664b0d-26c2-44ad-b0a9-673ed2902f00
EARTH SCIENCE,CLIMATE INDICATORS,PALEOCLIMATE INDICATORS,ICE CORE RECORDS,IONS,,,302d7079-299a-4269-bd7e-d95009c9b46e
EARTH SCIENCE,CLIMATE INDICATORS,PALEOCLIMATE INDICATORS,ICE CORE RECORDS,ISOTOPES,ARGON ISOTOPES,,6a0fc2ec-d1cf-43b5-8e97-6ab96811c02b
EARTH SCIENCE,CLIMATE INDICATORS,PALEOCLIMATE INDICATORS,ICE CORE RECORDS,ISOTOPES,NITROGEN ISOTOPES,,e1138bec-7087-45f4-82b0-2e4029063381
EARTH SCIENCE,CLIMATE INDICATORS,PALEOCLIMATE INDICATORS,ICE CORE RECORDS,ISOTOPES,OXYGEN ISOTOPES,,a1362cee-634d-40f4-b47f-901b328895c3
EARTH SCIENCE,CLIMATE INDICATORS,PALEOCLIMATE INDICATORS,ICE CORE RECORDS,ISOTOPES,,,a0358b3e-0926-4b17-8b32-c1b15a73cba5
EARTH SCIENCE,CLIMATE INDICATORS,PALEOCLIMATE INDICATORS,ICE CORE RECORDS,METHANE,,,0948a59e-cc72-4e5d-b97d-4ea0335b0906
